100000,1047,511,1361
110000,734,491,1238
120000,889,548,1282
130000,938,565,1136
140000,791,596,1627
150000,847,643,1785
160000,901,677,1678
170000,962,714,1622
180000,1088,757,2085
190000,1405,797,1892
200000,1180,830,2013
210000,1187,871,1982
220000,1266,952,2057
230000,1366,946,2052
240000,1425,1029,1987
250000,1467,1035,2132
260000,1472,1064,1860
270000,1516,1076,3073
280000,1568,1181,2998
290000,1694,1140,3212
300000,1679,1154,3242
310000,1731,1248,3015
320000,1962,1180,3165
330000,1839,1195,3099
340000,1900,1211,3115
350000,2027,1237,3017
360000,2003,1250,2905
370000,2069,1264,3143
380000,2117,1290,3080
390000,2163,1311,3702
400000,2224,1335,3151
410000,2276,1408,3121
420000,2331,1378,3307
430000,2390,1470,3025
440000,2583,1424,3078
450000,2692,1477,3077
460000,2571,1602,3230
470000,2762,1533,2854
480000,2716,1620,2902
490000,2810,1632,3023
500000,2769,1647,3069
510000,2894,1687,3150
520000,2884,1712,2995
530000,2933,1771,3371
540000,2986,1754,3374
550000,3031,1769,3515
560000,3088,1783,3455
570000,3149,1797,3698
580000,3207,1840,4098
590000,3258,1836,3706
600000,3311,1934,3939
610000,3905,1913,3956
620000,4009,2002,4150
630000,4068,1988,4269
640000,4161,1967,3968
650000,4189,2043,4217
660000,5192,2065,4471
670000,3785,2003,4077
680000,4069,2086,4142
690000,3905,2097,4161
700000,4066,2072,4593
710000,4013,2158,4900
720000,4065,2211,4476
730000,4023,2174,4576
740000,4074,2208,4510
750000,4132,2335,4519
760000,4182,2278,4572
770000,4239,2314,4575
780000,4443,2347,4689
790000,4345,2364,4703
800000,4403,2479,4548
810000,4452,2505,4878
820000,4773,2458,5335
830000,4562,2541,5118
840000,4651,2557,5158
850000,4689,2471,5367
860000,5056,2556,5220
870000,4876,2975,5240
880000,5797,2587,5573
890000,5004,2624,5525
900000,4979,2599,5448
910000,5037,2688,5716
920000,5150,2640,5900
930000,5315,2773,5485
940000,5261,2670,5620
950000,5215,2799,5481
960000,5375,2748,5736
970000,5813,2811,6154
980000,6125,2974,6139
990000,6257,3032,5858
